"date","point","Sydney","Melbourne","Brisbane","Adelaide","Perth"
2026-01-31,1,181.9,161.6,162.1,160,164.8
2026-02-01,2,180,160.6,161.1,159.3,162.7
2026-02-02,3,179.3,160.1,160.3,159,162.3
2026-02-03,4,177.6,159.5,159.6,158.4,161.4
2026-02-04,5,175.6,158.9,159.1,158,157.9
2026-02-05,6,172.7,159,159.2,158,178.6
2026-02-06,7,169.1,159.2,159.3,158.1,169.7
2026-02-07,8,167,159.6,159.4,157.6,164.8
2026-02-08,9,164.9,159.7,160.1,157.1,162.6
2026-02-09,10,163.8,159.7,160.5,157,161.8
2026-02-10,11,162.4,160.7,162.4,156.9,160.8
2026-02-11,12,160.2,161.2,164.6,156.7,157.1
2026-02-12,13,159.4,162.2,167.1,156.4,178.2
2026-02-13,14,159.8,165.9,168,157.3,169.5
2026-02-14,15,159.9,170.3,170.4,154.1,164.1
2026-02-15,16,160,173.3,172,152.8,161.9
2026-02-16,17,159.8,173.7,172.8,152.8,161.4
2026-02-17,18,160.1,171.9,175,153.1,160.4
2026-02-18,19,160.1,171.3,178.7,154.3,156.1
2026-02-19,20,161,172.7,182.1,158.4,177.4
2026-02-20,21,163,174.5,185.3,160.2,169
2026-02-21,22,165.2,176.1,188.9,161.4,163.4
2026-02-22,23,166.3,176.4,192.3,164.9,161.2
2026-02-23,24,167.2,178.1,196.2,170.2,160.7
2026-02-24,25,169.8,181.2,198.7,176.2,159.9
2026-02-25,26,173.3,186,199.3,177.3,156.7
2026-02-26,27,177,195.1,201.3,177.1,179.2
2026-02-27,28,180.9,199.6,201.6,176.5,170.9
2026-02-28,29,185.5,201,201.7,175.9,164.9
2026-03-01,30,189.6,201.4,201.9,175.3,162.9
2026-03-02,31,192.4,201.7,201.7,175.2,162.4
2026-03-03,32,199.5,201.9,202.1,175.1,161.8
2026-03-04,33,204.6,204.5,206.2,177.9,159.6
2026-03-05,34,210.4,208.3,210.5,186.9,189.2
2026-03-06,35,213.1,209.9,212.2,190,188.5
2026-03-07,36,215,211.5,214.2,195.5,187.5
2026-03-08,37,216.4,212.5,215.2,199.1,189.1
2026-03-09,38,216.6,213,216.1,200.1,190.8
2026-03-10,39,217.1,214,217.1,208,192.3
2026-03-11,40,217.9,215.6,217.9,214.3,193.9
2026-03-12,41,218.8,219.2,219,218.7,222.9
2026-03-13,42,219.7,221.4,220.1,219.5,225.6
2026-03-14,43,221.7,223,220.9,219.8,226.1
2026-03-15,44,226.3,226.9,225.5,221.6,228.6
2026-03-16,45,228.9,229.9,228.6,225.4,228.8
